frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
46,3,person,455,320,10,61
46,4,person,485,337,12,51
47,1,smallcar,531,286,31,44
47,4,smallcar,854,261,40,36
47,1,motorbike,749,309,46,65
47,2,motorbike,836,286,36,58
47,8,motorbike,875,290,28,53
47,10,motorbike,928,287,27,55
47,3,person,455,320,10,61
47,4,person,485,337,12,51
48,1,smallcar,533,286,29,42
48,4,smallcar,853,260,41,37
48,1,motorbike,737,307,43,64
48,2,motorbike,832,287,35,57
48,8,motorbike,870,289,29,54
48,10,motorbike,925,289,27,54
48,3,person,455,321,10,59
48,4,person,485,337,12,51
50,1,smallcar,533,286,29,42
50,4,smallcar,853,260,41,38
50,1,motorbike,734,306,47,68
50,2,motorbike,828,288,35,56
50,8,motorbike,867,289,29,54
50,10,motorbike,922,291,27,52
50,3,person,455,321,10,59
50,4,person,485,337,12,51
51,1,smallcar,533,286,29,41
51,4,smallcar,853,260,41,38
51,1,motorbike,730,307,48,67
51,2,motorbike,825,289,34,55
51,8,motorbike,865,289,30,55
51,10,motorbike,919,291,28,52
51,3,person,455,321,10,59
51,4,person,485,337,12,51
52,1,smallcar,534,285,29,42
52,4,smallcar,853,260,41,38
52,1,motorbike,723,308,48,67
52,2,motorbike,818,291,34,55
52,8,motorbike,861,291,29,53
52,10,motorbike,914,291,29,53
52,3,person,455,321,10,59
52,4,person,485,337,12,51
53,1,smallcar,534,284,29,42
53,4,smallcar,852,260,42,38
53,1,motorbike,717,308,49,68
53,2,motorbike,813,293,34,53
53,8,motorbike,856,293,29,52
53,10,motorbike,911,292,30,53
53,13,motorbike,892,287,25,49
53,3,person,455,321,10,59
53,4,person,485,337,12,51
55,1,smallcar,534,284,29,42
55,1,motorbike,713,308,49,69
55,2,motorbike,808,294,34,53
55,8,motorbike,852,293,30,53
55,10,motorbike,909,294,29,50
55,13,motorbike,891,288,24,48
55,3,person,455,321,10,59
55,4,person,485,337,12,51
56,1,smallcar,534,284,29,41
56,6,smallcar,542,263,19,24
56,1,motorbike,708,309,49,69
56,2,motorbike,802,293,36,55
56,8,motorbike,847,294,31,52
56,10,motorbike,906,297,28,47
56,13,motorbike,886,287,26,50
56,3,person,455,320,10,61
56,4,person,485,337,12,51
57,1,smallcar,535,283,28,40
57,6,smallcar,542,263,19,23
57,1,motorbike,700,310,49,69
57,2,motorbike,795,293,36,55
57,8,motorbike,841,294,32,53
57,10,motorbike,900,295,31,51
57,13,motorbike,881,287,27,52
57,3,person,455,321,10,59
57,4,person,485,337,12,51
58,1,smallcar,535,282,28,41
58,6,smallcar,542,263,19,22
58,1,motorbike,693,309,52,72
58,2,motorbike,791,294,36,55
58,8,motorbike,837,293,33,55
58,10,motorbike,895,294,32,53
58,13,motorbike,877,286,27,53
58,3,person,455,322,10,57
59,1,smallcar,535,282,28,41
59,6,smallcar,542,263,19,22
59,1,motorbike,691,309,52,73
59,8,motorbike,835,292,34,56
59,10,motorbike,893,293,33,54
59,13,motorbike,876,286,27,53
59,3,person,455,322,10,57
60,1,smallcar,536,283,27,39
60,6,smallcar,542,263,18,22
