frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
52,2,smallcar,521,290,45,60
52,3,smallcar,949,273,82,53
52,4,smallcar,107,367,66,51
52,5,smallcar,727,270,76,41
52,1,motorbike,831,310,54,76
52,2,motorbike,998,286,35,63
52,3,motorbike,1034,285,33,60
52,14,motorbike,806,277,18,31
52,4,person,983,457,41,162
53,1,smallcar,487,334,56,64
53,2,smallcar,521,288,45,62
53,3,smallcar,949,273,82,53
53,4,smallcar,107,367,66,51
53,5,smallcar,727,270,76,41
53,1,motorbike,831,310,54,76
53,2,motorbike,998,286,35,63
53,3,motorbike,1034,285,33,60
53,14,motorbike,806,277,18,31
53,2,bigcar,269,522,234,197
53,4,person,984,459,40,162
54,1,smallcar,490,335,51,59
54,2,smallcar,521,289,45,61
54,3,smallcar,950,273,80,53
54,4,smallcar,107,367,66,51
54,5,smallcar,727,270,76,41
54,1,motorbike,831,310,54,76
54,2,motorbike,997,286,37,64
54,3,motorbike,1035,286,31,59
54,14,motorbike,806,277,18,31
54,2,bigcar,268,512,244,207
54,4,person,984,459,40,162
55,1,smallcar,491,334,51,58
55,2,smallcar,521,287,45,62
55,3,smallcar,950,273,80,53
55,4,smallcar,107,367,66,51
55,5,smallcar,727,270,76,41
55,1,motorbike,831,310,54,76
55,2,motorbike,998,286,35,63
55,3,motorbike,1035,286,31,59
55,14,motorbike,806,277,18,31
55,2,bigcar,269,504,249,215
55,4,person,983,458,41,163
56,1,smallcar,490,334,53,59
56,2,smallcar,522,286,45,62
56,3,smallcar,950,273,80,53
56,4,smallcar,107,367,66,51
56,5,smallcar,727,270,76,41
56,1,motorbike,831,310,54,76
56,2,motorbike,998,286,35,63
56,3,motorbike,1034,286,33,59
56,14,motorbike,806,277,18,31
56,2,bigcar,273,496,254,223
56,4,person,984,458,40,162
57,1,smallcar,491,334,53,60
57,2,smallcar,523,288,43,60
57,3,smallcar,950,273,80,53
57,4,smallcar,106,367,67,51
