frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
281,27,smallcar,745,298,113,60
281,55,motorbike,191,354,37,67
282,19,smallcar,417,365,122,79
282,21,smallcar,553,293,71,47
282,22,smallcar,101,433,141,102
282,27,smallcar,739,298,114,61
282,55,motorbike,190,355,38,66
283,19,smallcar,425,365,124,79
283,21,smallcar,553,293,69,46
283,22,smallcar,109,433,141,101
283,27,smallcar,735,299,114,61
283,55,motorbike,189,353,40,68
284,19,smallcar,438,365,120,76
284,21,smallcar,553,294,67,45
284,22,smallcar,114,434,143,101
284,27,smallcar,729,299,116,61
284,32,smallcar,263,345,135,81
284,55,motorbike,188,352,41,68
285,19,smallcar,447,365,121,75
285,21,smallcar,552,291,68,48
285,22,smallcar,121,435,143,99
285,27,smallcar,722,299,117,62
285,32,smallcar,269,357,115,68
285,55,motorbike,188,352,41,67
286,19,smallcar,459,365,120,72
286,21,smallcar,547,284,76,54
286,22,smallcar,126,433,147,102
286,27,smallcar,716,300,118,62
286,32,smallcar,264,361,108,65
286,55,motorbike,187,352,42,69
287,19,smallcar,469,362,123,74
287,21,smallcar,545,280,78,58
287,22,smallcar,133,432,148,102
287,27,smallcar,711,301,118,63
287,32,smallcar,257,363,107,64
287,55,motorbike,185,352,43,69
288,19,smallcar,477,362,125,73
288,21,smallcar,549,288,68,50
288,22,smallcar,140,431,150,103
288,27,smallcar,705,301,120,64
288,32,smallcar,252,365,104,62
288,55,motorbike,185,351,43,70
289,19,smallcar,486,360,125,72
289,21,smallcar,551,289,63,49
289,22,smallcar,147,430,153,104
289,27,smallcar,701,302,120,64
289,32,smallcar,244,365,106,63
289,55,motorbike,184,351,43,70
290,19,smallcar,494,358,126,73
290,21,smallcar,549,287,66,51
290,22,smallcar,155,430,152,103
290,27,smallcar,695,302,122,65
290,32,smallcar,236,363,108,64
290,55,motorbike,183,352,43,67
291,19,smallcar,503,357,128,72
291,21,smallcar,549,287,65,51
291,22,smallcar,162,429,154,103
291,27,smallcar,689,302,123,65
291,32,smallcar,227,363,111,66
291,55,motorbike,183,353,42,66
292,19,smallcar,513,354,130,74
292,21,smallcar,548,285,65,53
292,22,smallcar,170,429,154,103
292,27,smallcar,685,303,122,65
292,32,smallcar,221,362,113,67
293,19,smallcar,521,353,131,73
293,21,smallcar,549,288,61,50
293,22,smallcar,177,429,154,102
293,27,smallcar,680,303,123,66
293,32,smallcar,216,366,109,64
293,55,motorbike,175,364,33,51
294,19,smallcar,529,352,135,75
294,21,smallcar,550,289,58,48
294,22,smallcar,185,429,154,101
294,27,smallcar,675,304,122,65
294,32,smallcar,209,368,107,63
294,55,motorbike,174,367,29,47
295,19,smallcar,539,350,137,76
295,21,smallcar,551,290,55,47
295,22,smallcar,193,427,155,102
295,27,smallcar,668,304,124,66
295,32,smallcar,202,369,108,63
295,55,motorbike,173,368,28,46
296,19,smallcar,548,349,138,77
296,21,smallcar,550,290,55,46
296,22,smallcar,201,426,155,101
296,27,smallcar,665,306,121,64
296,32,smallcar,196,371,108,63
297,19,smallcar,558,348,138,76
297,21,smallcar,550,290,54,46
297,22,smallcar,209,426,157,102
297,27,smallcar,661,306,121,65
297,32,smallcar,189,372,110,64
297,55,motorbike,171,367,29,48
298,19,smallcar,566,346,141,78
298,21,smallcar,552,291,51,44
298,22,smallcar,219,425,157,101
298,27,smallcar,655,308,121,64
298,32,smallcar,180,371,112,65
298,55,motorbike,170,368,29,47
299,19,smallcar,575,343,144,79
299,21,smallcar,552,293,49,41
299,22,smallcar,226,424,159,102
299,27,smallcar,650,309,121,65
299,32,smallcar,174,372,112,66
300,19,smallcar,586,340,145,81
300,21,smallcar,552,292,48,42
300,22,smallcar,234,423,161,103
300,27,smallcar,645,310,121,65
300,32,smallcar,167,372,113,66
301,19,smallcar,596,339,144,80
301,21,smallcar,552,293,46,40
301,22,smallcar,245,424,159,100
301,32,smallcar,161,371,114,68
302,19,smallcar,605,338,145,81
302,21,smallcar,551,292,48,42
302,22,smallcar,252,423,162,102
302,32,smallcar,157,372,111,66
303,19,smallcar,615,336,146,82
303,21,smallcar,551,292,47,41
303,22,smallcar,258,421,167,104
303,32,smallcar,152,375,107,64
304,19,smallcar,617,327,160,92
304,21,smallcar,548,288,51,45
304,22,smallcar,266,420,168,104
304,32,smallcar,149,378,101,61
305,19,smallcar,632,329,152,87
305,21,smallcar,547,285,52,48
305,22,smallcar,274,417,171,106
305,32,smallcar,143,380,100,59
306,19,smallcar,641,328,152,88
306,21,smallcar,549,287,49,46
306,22,smallcar,283,415,175,107
306,32,smallcar,127,372,115,69
307,19,smallcar,653,330,144,84
307,21,smallcar,549,289,48,44
307,22,smallcar,290,414,177,109
307,32,smallcar,120,372,116,70
307,36,smallcar,6,423,29,68
308,19,smallcar,663,329,145,85
308,21,smallcar,550,290,45,42
308,22,smallcar,300,415,175,107
308,36,smallcar,9,422,30,70
308,37,smallcar,880,293,115,59
309,19,smallcar,676,330,138,81
309,21,smallcar,550,290,44,42
309,22,smallcar,311,415,175,106
309,36,smallcar,11,422,32,74
309,37,smallcar,879,294,112,58
310,19,smallcar,689,333,131,77
310,21,smallcar,551,291,42,40
310,22,smallcar,319,414,176,106
310,32,smallcar,105,381,103,63
310,36,smallcar,13,422,34,76
310,37,smallcar,876,295,112,57
311,19,smallcar,699,334,127,74
311,21,smallcar,551,291,42,40
311,22,smallcar,329,414,175,105
311,32,smallcar,99,383,104,63
311,36,smallcar,15,421,37,77
311,37,smallcar,871,293,114,59
312,19,smallcar,711,335,122,71
312,21,smallcar,550,290,42,41
312,22,smallcar,340,413,177,105
312,32,smallcar,93,382,107,66
312,36,smallcar,17,421,39,76
312,37,smallcar,869,291,118,61
312,4,bigcar,94,338,84,74
313,19,smallcar,718,332,124,73
313,21,smallcar,549,289,43,41
313,22,smallcar,349,412,178,106
313,32,smallcar,90,386,100,62
313,36,smallcar,19,421,42,75
313,37,smallcar,869,294,111,57
313,4,bigcar,93,337,85,76
314,19,smallcar,722,327,133,78
314,21,smallcar,549,288,42,42
314,22,smallcar,358,411,179,106
314,32,smallcar,83,387,100,62
314,36,smallcar,21,419,47,78
314,37,smallcar,869,295,110,56
314,39,smallcar,556,319,129,66
314,4,bigcar,93,337,86,77
315,19,smallcar,731,328,132,76
315,21,smallcar,550,289,41,40
315,22,smallcar,367,409,182,107
315,32,smallcar,78,390,94,59
315,36,smallcar,22,418,51,78
315,37,smallcar,864,293,115,59
315,39,smallcar,547,316,137,70
315,4,bigcar,93,337,85,76
316,19,smallcar,736,320,143,84
316,21,smallcar,551,290,39,39
316,22,smallcar,378,409,181,106
316,32,smallcar,73,391,98,61
316,36,smallcar,24,417,55,79
316,37,smallcar,861,294,113,58
316,39,smallcar,544,320,132,67
316,4,bigcar,93,337,83,75
317,19,smallcar,745,316,146,87
317,21,smallcar,551,290,39,39
317,22,smallcar,387,407,184,107
317,32,smallcar,69,390,96,60
317,36,smallcar,25,417,60,79
317,37,smallcar,861,296,108,56
317,39,smallcar,541,323,126,64
317,60,motorbike,153,368,29,47
317,4,bigcar,93,338,80,72
318,19,smallcar,754,316,141,84
318,21,smallcar,549,289,41,40
318,22,smallcar,396,405,187,109
318,32,smallcar,67,391,93,58
318,36,smallcar,26,417,65,79
318,37,smallcar,858,297,105,55
318,39,smallcar,535,324,126,65
318,41,smallcar,925,275,65,51
318,60,motorbike,152,368,28,46
318,4,bigcar,94,339,75,69
319,19,smallcar,766,316,136,82
319,21,smallcar,550,290,39,39
319,22,smallcar,407,405,186,109
319,32,smallcar,66,392,90,57
319,36,smallcar,27,414,72,81
319,37,smallcar,855,297,105,55
319,39,smallcar,530,325,124,63
319,41,smallcar,924,276,62,48
319,60,motorbike,152,368,28,46
319,61,motorbike,262,500,108,138
319,4,bigcar,94,340,74,68
320,19,smallcar,774,316,134,81
320,21,smallcar,550,289,39,40
320,22,smallcar,420,404,184,108
320,32,smallcar,63,391,90,58
320,36,smallcar,29,414,76,80
