center_x,center_y,object_id
0,399,260
45,389,260
9,425,261
1025,288,261
32,394,262
443,324,262
183,346,263
183,346,263
0,391,264
294,357,264
1062,280,265
1063,280,265
184,346,266
184,346,266
574,251,267
574,251,267
184,345,268
183,345,268
930,276,269
598,293,269
573,252,270
574,251,270
183,349,271
184,349,271
184,345,272
182,345,272
184,350,273
184,348,273
1016,278,274
0,401,274
14,455,275
1017,342,275
573,251,276
574,251,276
182,348,277
183,351,277
589,293,278
572,281,278
183,345,279
183,345,279
573,279,280
574,274,280
573,251,281
573,251,281
960,303,282
1006,275,282
1031,262,283
990,265,283
0,398,284
944,286,284
574,273,285
572,268,285
573,250,286
574,250,286
183,351,287
183,351,287
183,350,288
183,352,288
1064,287,289
21,422,289
1054,279,290
1049,277,290
0,431,291
196,348,291
573,250,292
574,250,292
231,355,293
1016,275,293
1010,340,294
499,542,294
0,439,295
193,353,295
184,343,296
184,342,296
1057,274,297
1057,274,297
16,449,298
1055,340,298
992,273,299
1004,274,299
534,277,300
280,563,300
183,344,301
184,345,301
1057,275,302
1058,275,302
969,304,303
970,296,303
1058,275,304
1058,274,304
0,407,305
949,288,305
193,356,306
0,439,306
523,293,307
233,588,307
182,345,308
183,344,308
224,358,309
0,426,309
181,349,310
181,348,310
429,575,311
536,318,311
183,351,312
184,344,312
995,290,313
995,296,313
538,536,314
1023,332,314
969,300,315
968,299,315
1056,273,316
1051,275,316
175,346,317
182,352,317
121,369,318
169,348,318
168,352,319
132,363,319
179,348,320
0,423,320
1057,274,321
1057,275,321
567,281,322
392,613,322
987,263,323
977,263,323
575,280,324
535,615,324
991,277,325
994,278,325
179,350,326
0,396,326
536,265,327
539,257,327
970,289,328
984,283,328
91,376,329
0,416,329
1056,276,330
1057,274,330
110,372,331
59,382,331
573,249,332
574,250,332
190,350,333
0,413,333
467,598,334
531,306,334
550,303,335
552,302,335
0,419,336
0,418,336
390,603,337
542,289,337
186,353,338
0,441,338
574,250,339
574,250,339
501,584,340
1016,337,340
574,252,341
572,252,341
0,448,342
188,353,342
963,261,343
964,262,343
531,293,344
536,280,344
963,261,345
964,261,345
568,269,346
559,563,346
574,253,347
573,252,347
545,263,348
542,284,348
575,273,349
574,270,349
964,261,350
964,261,350
0,439,351
175,347,351
488,574,352
549,270,352
896,273,353
847,264,353
522,279,354
522,279,354
896,294,355
951,279,355
972,283,356
972,286,356
573,253,357
574,252,357
954,279,358
952,278,358
339,569,359
532,280,359
964,261,360
964,261,360
848,264,361
847,263,361
454,563,362
554,283,362
589,303,363
574,592,363
541,267,364
249,560,364
526,301,365
331,569,365
707,469,366
736,417,366
552,280,367
551,273,367
574,252,368
574,252,368
549,266,369
550,267,369
0,395,370
175,341,370
856,265,371
852,263,371
325,569,372
539,256,372
859,295,373
816,343,373
878,292,374
873,284,374
547,265,375
544,261,375
191,346,376
189,346,376
540,267,377
525,279,377
845,266,378
823,288,378
260,568,379
530,286,379
175,353,380
170,355,380
521,297,381
530,280,381
857,300,382
852,301,382
525,557,383
1022,328,383
912,292,384
908,292,384
184,349,385
0,446,385
851,267,386
850,269,386
233,586,387
536,267,387
533,273,388
533,276,388
823,297,389
822,295,389
151,367,390
0,485,390
656,568,391
930,299,391
957,278,392
957,278,392
573,250,393
574,251,393
0,422,394
38,404,394
186,347,395
0,431,395
980,282,396
975,283,396
830,305,397
829,304,397
194,552,398
539,258,398
1060,358,399
685,567,399
0,420,400
0,421,400
533,280,401
533,281,401
952,282,402
953,283,402
827,303,403
832,302,403
255,574,404
527,284,404
646,616,405
1058,363,405
954,280,406
953,280,406
0,459,407
148,362,407
516,300,408
512,303,408
572,271,409
536,619,409
965,300,410
971,280,410
77,384,411
0,422,411
574,250,412
574,251,412
543,275,413
294,580,413
0,419,414
173,358,414
573,250,415
574,250,415
575,286,416
531,600,416
178,353,417
0,438,417
0,426,418
179,352,418
833,303,419
832,301,419
574,250,420
573,251,420
923,285,421
913,277,421
880,296,422
876,294,422
954,280,423
951,277,423
542,266,424
289,574,424
873,291,425
858,287,425
811,296,426
833,298,426
187,358,427
0,454,427
135,361,428
